gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000181061.14,1220.25824108606,1.21458949193984,0.139187575065993,8.72457645146724,2.67178738220536e-18,5.95622182460944e-16
ENSG00000137672.13,627.773175633966,1.67350104381492,0.191680624828714,8.72549452357631,2.65019929835006e-18,5.95622182460944e-16
ENSG00000128311.14,298.606339916774,1.20585157799991,0.138494164631344,8.69870168285798,3.35702747257367e-18,7.39780812691751e-16
ENSG00000099860.9,341.721953366369,1.31406078407661,0.151825562318199,8.64477798404511,5.39100153765466e-18,1.1745031986354e-15
ENSG00000150907.10,476.258874058411,1.87848462210796,0.219927847929777,8.54202638360776,1.31888306214209e-17,2.84108158060541e-15
ENSG00000177283.8,119.677824406752,1.94632347373953,0.226253582437357,8.53541518450572,1.39653021749291e-17,2.97491970330823e-15
ENSG00000103485.19,818.678332917984,-1.1408418628358,0.134683640141091,-8.46726755530119,2.51216584928956e-17,5.292664138745e-15
ENSG00000072958.9,2095.10370275895,1.0317365499609,0.121898627374047,8.46308785275937,2.60389405903955e-17,5.42628879346806e-15
ENSG00000132970.14,714.364447418092,1.01919108816819,0.120616120948911,8.44748995073291,2.9763247391583e-17,6.07043594671733e-15
ENSG00000221869.5,1798.26707851403,1.34669631184428,0.160560172693697,8.38622410155711,5.0200594072608e-17,1.00254769745838e-14
ENSG00000143320.9,1444.11497014037,-1.47474495558884,0.17648126014653,-8.35462488525277,6.56409693372535e-17,1.29739037539569e-14
ENSG00000134243.12,5383.29326566274,1.80072889800365,0.215901947082182,8.35076835866128,6.78203138720739e-17,1.32678679342388e-14
ENSG00000170214.5,219.516332975835,2.18126236304573,0.268271309158571,8.3234185522394,8.54620070700389e-17,1.65502787833009e-14
ENSG00000103064.15,698.634380394227,1.34349369271535,0.161514173207688,8.3144581139931,9.2172449231769e-17,1.76713019667148e-14
ENSG00000167549.19,1867.60003915999,1.85431819155283,0.223834683116451,8.29784488057176,1.06016976915903e-16,1.99270341316833e-14
ENSG00000253368.4,991.212970452125,1.65642158790425,0.199765415799192,8.29236786110365,1.11015967474985e-16,2.06640594993244e-14
ENSG00000163513.20,13046.9577586921,1.32182884516903,0.159621518448962,8.28137215472187,1.21764008793595e-16,2.24467266979885e-14
ENSG00000145685.14,1973.55873398668,-1.15178438064234,0.139889216890465,-8.23225149947698,1.8372700707575e-16,3.32303224495875e-14
ENSG00000233117.4,89.5292044029388,2.15315641908979,0.26057781593198,8.22978401752281,1.87551299580864e-16,3.32474486240031e-14
ENSG00000169715.15,441.241642811951,1.74268298212201,0.211638403014542,8.22886242283782,1.889996964194e-16,3.32474486240031e-14
ENSG00000099337.5,871.883143331317,2.01651951304397,0.249587472061508,8.13435536297003,4.14136085300762e-16,7.08912234588054e-14
ENSG00000162426.16,162.269218997333,1.20929063507959,0.148769911041678,8.11166860669799,4.99293176849565e-16,8.47119361642466e-14
ENSG00000130066.17,3735.50150074458,1.2084355964191,0.149330754231869,8.09199323798626,5.86961692108033e-16,9.87125400096071e-14
ENSG00000100784.12,105.113622389105,-1.8064290263667,0.222125666781714,-8.06451283951273,7.35284784853906e-16,1.22581564306253e-13
ENSG00000231246.3,57.7741726652515,2.08127721813313,0.25479007125696,8.02142286507099,1.04527212107701e-15,1.72758250907658e-13
ENSG00000179820.16,4325.02956804888,1.33690098616895,0.166789803610215,8.01564837100185,1.09557523085366e-15,1.79524515606208e-13
ENSG00000020577.14,2996.3051119424,1.11720314597171,0.139458465253598,8.01063259451964,1.14119902330844e-15,1.8541582775313e-13
ENSG00000105516.11,82.4962617263662,-1.45511648253824,0.181142930216934,-7.96469814020233,1.65627590860812e-15,2.64094658832378e-13
ENSG00000246430.9,2717.98617931948,1.63547233719557,0.205897895751125,7.9473005109536,1.90619616526798e-15,2.99554040004243e-13
ENSG00000138316.11,760.209451391228,-1.84068016267087,0.232080563955622,-7.93941756056919,2.03132847818918e-15,3.16623004746691e-13
ENSG00000013293.6,253.604795669919,-1.9883756732015,0.251438744712773,-7.93759771384148,2.06134638597021e-15,3.18710749288878e-13
ENSG00000157152.17,46.5551476305273,2.15443281639845,0.264194406025082,7.92463538528365,2.28816731834977e-15,3.49215048035956e-13
